Team,AdjO,AdjD,AdjT
Akron,118.82,106.022,70.2733
Alabama,129.004,103.284,73.087
Arizona,127.676,90.0201,69.7911
Arkansas,127.658,101.605,70.9979
BYU,125.46,102.214,69.9244
Cal Baptist,107.926,101.933,65.8019
Clemson,116.522,97.2852,64.21
Connecticut,121.986,94.1163,64.4462
Duke,127.956,89.0562,65.3455
Florida,125.535,91.7424,70.5421
Furman,107.451,109.43,65.8575
Georgia,124.681,104.202,71.378
Gonzaga,121.99,93.8895,68.5871
Hawaii,107.129,101.163,69.6586
High Point,117.048,108.644,69.8932
Hofstra,114.57,105.077,64.6955
Houston,124.864,91.4372,63.2742
Howard,103.142,106.331,68.9954
Idaho,108.842,107.309,67.7163
Illinois,131.176,99.0756,65.5241
Iowa,121.742,99.2974,63.0052
Iowa St.,123.826,91.4031,66.5484
Kansas,118.33,93.8906,67.6362
Kennesaw St.,110.636,110.064,71.1569
Kentucky,120.516,99.0324,68.34
LIU,105.631,109.582,67.7741
Lehigh,102.717,113.086,66.8824
Louisville,124.053,98.6289,69.6486
McNeese,114.264,101.787,66.1517
Miami FL,121.357,100.677,67.5506
Miami OH,116.779,108.522,69.947
Michigan,126.626,89.0343,70.9486
Michigan St.,123.049,94.7386,66.0475
Missouri,119.491,104.099,66.1629
N.C. State,124.052,104.456,69.0586
Nebraska,118.544,92.3865,66.7205
North Carolina,121.387,100.545,67.9079
North Dakota St.,111.74,106.606,66.2972
Northern Iowa,110.001,98.1918,62.2651
Ohio St.,124.305,102.066,66.0578
Penn,107.363,105.894,69.0438
Prairie View A&M,101.205,111.898,70.938
Purdue,131.635,100.436,64.3693
Queens,115.771,117.209,69.5919
SMU,122.893,104.808,68.5372
Saint Louis,119.475,101.154,70.9898
Saint Mary's,120.26,97.1899,65.1588
Santa Clara,123.644,104.246,69.1516
Siena,107.134,109.231,64.6233
South Florida,117.305,100.918,71.5099
St. John's,120.068,94.1597,69.5583
TCU,115.379,97.7924,67.6696
Tennessee,121.055,95.0297,64.973
Tennessee St.,109.085,110.911,70.1975
Texas,124.97,105.937,66.8781
Texas A&M,119.69,101.022,70.4548
Texas Tech,125.05,99.8259,66.185
Troy,110.717,108.997,64.8776
UCF,120.452,105.413,69.2088
UCLA,123.728,102.061,64.6449
UMBC,108.224,109.89,66.188
Utah St.,122.132,101.374,67.6962
VCU,119.872,102.666,68.5071
Vanderbilt,126.805,99.2995,68.8493
Villanova,120.369,100.4,65.1979
Virginia,122.516,95.8064,65.7342
Wisconsin,125.348,101.954,68.7128
Wright St.,112.057,110.013,67.1597
